WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
the,1,222,5.402677381872279,8.230843564198235
and,2,160,5.768320995793772,8.230843564198235
of,3,142,6.054439346269371,8.230843564198235
our,4,120,6.173786103901937,8.230843564198235
to,5,113,6.336825731146441,8.230843564198235
we,6,94,6.335054251498059,8.230843564198235
a,7,76,6.2766434893416445,8.230843564198235
in,8,66,6.269096283706261,8.230843564198235
for,9,47,6.0473721790462776,8.230843564198235
is,10,45,6.1092475827643655,8.230843564198235
us,11,40,6.0867747269123065,8.230843564198235
that,12,39,6.148468295917647,8.230843564198235
new,13,38,6.202535517187923,8.230843564198235
will,14,34,6.16541785423142,8.230843564198235
with,15,31,6.142037405587356,8.230843564198235
have,16,29,6.139884552226255,8.230843564198235
all,17,29,6.20050917404269,8.230843564198235
must,18,28,6.222576268071369,8.230843564198235
world,19,28,6.2766434893416445,8.230843564198235
are,20,28,6.327936783729195,8.230843564198235
not,21,27,6.340359303727752,8.230843564198235
america,22,26,6.349138991379798,8.230843564198235
but,23,26,6.393590753950631,8.230843564198235
this,24,25,6.396929655216146,8.230843564198235
people,25,23,6.354370040797351,8.230843564198235
century,26,21,6.302618975744905,8.230843564198235
time,27,19,6.240275845170769,8.230843564198235
from,28,19,6.2766434893416445,8.230843564198235
nation,29,18,6.257667587882639,8.230843564198235
it,30,18,6.29156913955832,8.230843564198235
let,31,18,6.324358962381311,8.230843564198235
who,32,17,6.298949246855942,8.230843564198235
be,33,17,6.329720905522696,8.230843564198235
by,34,16,6.298949246855942,8.230843564198235
americans,35,16,6.327936783729195,8.230843564198235
today,36,15,6.29156913955832,8.230843564198235
work,37,14,6.249975242259483,8.230843564198235
government,38,14,6.2766434893416445,8.230843564198235
can,39,14,6.302618975744905,8.230843564198235
every,40,14,6.327936783729195,8.230843564198235
at,41,14,6.352629396319567,8.230843564198235
they,42,13,6.302618975744905,8.230843564198235
american,43,13,6.326149473155099,8.230843564198235
so,44,13,6.349138991379798,8.230843564198235
my,45,13,6.371611847231857,8.230843564198235
no,46,12,6.313548046277095,8.230843564198235
those,47,12,6.335054251498059,8.230843564198235
do,48,12,6.3561076606958915,8.230843564198235
land,49,12,6.376726947898627,8.230843564198235
when,50,12,6.396929655216146,8.230843564198235
fellow,51,12,6.416732282512326,8.230843564198235
on,52,12,6.436150368369428,8.230843564198235
its,53,11,6.368187186350492,8.230843564198235
now,54,11,6.386879319362645,8.230843564198235
as,55,11,6.405228458030842,8.230843564198235
an,56,11,6.423246963533519,8.230843564198235
one,57,11,6.440946540632921,8.230843564198235
promise,58,11,6.45833828334479,8.230843564198235
change,59,11,6.47543271670409,8.230843564198235
more,60,11,6.492239835020471,8.230843564198235
what,61,10,6.413458957167357,8.230843564198235
i,62,9,6.324358962381311,8.230843564198235
citizens,63,9,6.340359303727752,8.230843564198235
own,64,9,6.3561076606958915,8.230843564198235
children,65,9,6.371611847231857,8.230843564198235
has,66,9,6.386879319362645,8.230843564198235
you,67,8,6.284134161070802,8.230843564198235
