imdbID,Awards,Prime_Won,Oscar_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated,Total_Wins,Total_Nominations
tt0250224,5 nominations.,0,0,0,0,0,0,0,0,0,5
tt0254099,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt0258068,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,0,0,0,0,0,1,0,0,13,14
tt0272338,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,0,0,0,0,0,0,1,0,14,35
tt0280030,5 nominations.,0,0,0,0,0,0,0,0,0,5
tt0280477,1 win & 2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0283111,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0291502,7 wins & 6 nominations.,0,0,0,0,0,0,0,0,7,6
tt0295297,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,0,0,0,0,0,0,0,3,11,42
tt0297181,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt0298130,14 wins & 11 nominations.,0,0,0,0,0,0,0,0,14,11
tt0317842,15 wins & 4 nominations.,0,0,0,0,0,0,0,0,15,4
tt0336910,2 wins.,0,0,0,0,0,0,0,0,2,0
tt0167260,Won 11 Oscars. Another 174 wins & 113 nominations.,0,11,0,0,0,0,0,0,185,113
tt0191133,4 wins & 11 nominations.,0,0,0,0,0,0,0,0,4,11
tt0285823,3 wins & 4 nominations.,0,0,0,0,0,0,0,0,3,4
tt0289944,1 win & 5 nominations.,0,0,0,0,0,0,0,0,0,5
tt0306047,2 wins & 2 nominations.,0,0,0,0,0,0,0,0,2,2
tt0314197,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0325258,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0327437,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0332375,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt0348593,2 wins & 7 nominations.,0,0,0,0,0,0,0,0,2,7
tt0374900,10 wins & 22 nominations.,0,0,0,0,0,0,0,0,10,22
tt0378194,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,0,0,0,0,0,0,2,0,21,74
tt0387564,8 wins & 10 nominations.,0,0,0,0,0,0,0,0,8,10
tt0388838,2 wins & 8 nominations.,0,0,0,0,0,0,0,0,2,8
tt0121766,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,0,0,0,0,0,1,0,0,25,52
tt0257516,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0340163,4 nominations.,0,0,0,0,0,0,0,0,0,4
tt0365885,5 wins & 12 nominations.,0,0,0,0,0,0,0,0,5,12
tt0380389,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt0400525,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0401855,2 wins & 6 nominations.,0,0,0,0,0,0,0,0,2,6
tt0403508,1 win & 14 nominations.,0,0,0,0,0,0,0,0,0,14
tt0407304,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,0,0,0,0,0,3,0,0,13,43
tt0430357,1 win & 9 nominations.,0,0,0,0,0,0,0,0,0,9
tt0430912,8 wins & 6 nominations.,0,0,0,0,0,0,0,0,8,6
tt0435625,8 wins & 17 nominations.,0,0,0,0,0,0,0,0,8,17
tt0452594,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt0454082,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0454921,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,0,0,0,0,0,1,0,0,11,25
tt0473488,7 wins & 9 nominations.,0,0,0,0,0,0,0,0,7,9
tt0499603,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0379976,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0389722,12 nominations.,0,0,0,0,0,0,0,0,0,12
tt0425413,3 nominations.,0,0,0,0,0,0,0,0,0,3
tt0452608,1 win & 5 nominations.,0,0,0,0,0,0,0,0,0,5
tt0469623,4 wins & 1 nomination.,0,0,0,0,0,0,0,0,4,0
tt0497972,1 win.,0,0,0,0,0,0,0,0,0,0
tt0499448,2 wins & 19 nominations.,0,0,0,0,0,0,0,0,2,19
tt0758730,4 nominations.,0,0,0,0,0,0,0,0,0,4
tt0758758,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,0,0,0,0,0,2,0,0,23,101
tt0780595,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt0829482,10 wins & 24 nominations.,0,0,0,0,0,0,0,0,10,24
tt0871510,26 wins & 18 nominations.,0,0,0,0,0,0,0,0,26,18
tt0918927,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,0,0,0,0,0,5,0,0,26,93
tt1001562,4 nominations.,0,0,0,0,0,0,0,0,0,4
tt1093824,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,0,0,0,0,0,1,0,0,2,15
tt1099212,28 wins & 16 nominations.,0,0,0,0,0,0,0,0,28,16
tt1213644,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt0076759,Won 6 Oscars. Another 48 wins & 28 nominations.,0,6,0,0,0,0,0,0,54,28
tt0409459,12 wins & 20 nominations.,0,0,0,0,0,0,0,0,12,20
tt0473075,1 win & 9 nominations.,0,0,0,0,0,0,0,0,0,9
tt0758752,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,0,0,0,0,0,0,2,0,0,6
tt0800320,4 wins & 12 nominations.,0,0,0,0,0,0,0,0,4,12
tt0842926,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,0,0,0,0,0,4,0,0,28,120
tt0878804,Won 1 Oscar. Another 7 wins & 29 nominations.,0,1,0,0,0,0,0,0,8,29
tt0892769,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,0,0,0,0,0,2,0,0,25,60
tt1034032,1 win.,0,0,0,0,0,0,0,0,0,0
tt1053424,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1114677,6 wins & 10 nominations.,0,0,0,0,0,0,0,0,6,10
tt1126591,Won 1 Golden Globe. Another 5 wins & 17 nominations.,0,0,1,0,0,0,0,0,6,17
tt1407084,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1477076,3 nominations.,0,0,0,0,0,0,0,0,0,3
tt1564585,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1568921,11 wins & 6 nominations.,0,0,0,0,0,0,0,0,11,6
tt0337692,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
tt0448694,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,0,0,0,0,0,1,0,0,7,43
tt0848228,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,0,0,0,0,0,1,0,0,34,76
tt1024648,Won 3 Oscars. Another 92 wins & 150 nominations.,0,3,0,0,0,0,0,0,95,150
tt1201607,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,0,0,0,0,0,3,0,0,46,90
tt1268799,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1270798,20 wins & 35 nominations.,0,0,0,0,0,0,0,0,20,35
tt1324999,11 wins & 21 nominations.,0,0,0,0,0,0,0,0,11,21
tt1340800,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,0,0,0,0,0,3,0,0,34,91
tt1441326,22 wins & 68 nominations.,0,0,0,0,0,0,0,0,22,68
tt1527186,32 wins & 86 nominations.,0,0,0,0,0,0,0,0,32,86
tt1563738,1 win & 2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1596343,8 wins & 19 nominations.,0,0,0,0,0,0,0,0,8,19
tt1596346,1 win & 12 nominations.,0,0,0,0,0,0,0,0,0,12
tt1611224,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1637725,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,0,0,0,0,0,1,0,0,13,27
tt1650062,11 wins & 62 nominations.,0,0,0,0,0,0,0,0,11,62
tt1753846,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1754795,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1772240,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1787777,3 wins & 9 nominations.,0,0,0,0,0,0,0,0,3,9
tt1922777,3 wins & 13 nominations.,0,0,0,0,0,0,0,0,3,13
tt0062622,Won 1 Oscar. Another 13 wins & 7 nominations.,0,1,0,0,0,0,0,0,14,7
tt0062622,Won 1 Oscar. Another 13 wins & 7 nominations.,0,1,0,0,0,0,0,0,14,7
tt0076759,Won 6 Oscars. Another 48 wins & 28 nominations.,0,6,0,0,0,0,0,0,54,28
tt0119528,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,0,0,0,0,0,0,1,0,4,6
tt0359950,5 wins & 16 nominations.,0,0,0,0,0,0,0,0,5,16
tt0405469,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt0418279,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,0,0,0,0,0,3,0,0,19,43
tt0429493,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
tt0469021,1 win & 7 nominations.,0,0,0,0,0,0,0,0,0,7
tt0481499,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,0,0,0,0,0,1,0,0,5,42
tt0765446,1 win.,0,0,0,0,0,0,0,0,0,0
tt0770828,7 wins & 42 nominations.,0,0,0,0,0,0,0,0,7,42
tt0787474,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,0,0,0,0,0,1,0,0,8,59
tt0816692,Won 1 Oscar. Another 39 wins & 134 nominations.,0,1,0,0,0,0,0,0,40,134
tt0816711,3 wins & 23 nominations.,0,0,0,0,0,0,0,0,3,23
tt0829150,2 wins & 3 nominations.,0,0,0,0,0,0,0,0,2,3
tt0831387,5 wins & 28 nominations.,0,0,0,0,0,0,0,0,5,28
tt0848228,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,0,0,0,0,0,1,0,0,34,76
tt0848537,2 wins & 21 nominations.,0,0,0,0,0,0,0,0,2,21
tt0864835,2 wins & 16 nominations.,0,0,0,0,0,0,0,0,2,16
tt0903657,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations.,0,0,0,0,0,0,2,0,20,54
tt1015471,2 wins & 4 nominations.,0,0,0,0,0,0,0,0,2,4
tt1205537,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1210819,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,0,0,0,0,0,2,0,0,4,19
tt1229340,1 win & 23 nominations.,0,0,0,0,0,0,0,0,0,23
tt1234721,4 wins & 1 nomination.,0,0,0,0,0,0,0,0,4,0
tt1291150,1 win & 10 nominations.,0,0,0,0,0,0,0,0,0,10
tt1300854,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,0,0,0,0,0,1,0,0,17,54
