business_id,max_day,max_hour
KO9CpaSPOoqm0iCWm5scmg,3,12
oRqBAYtcBYZHXA7G8FlPaA,5,18
6cy2C9aBXUwkrh4bY1DApw,5,11
D0IB17N66FiyYDCzTlAI4A,5,11
HLQGo3EaYVvAv22bONGkIw,5,12
J6OojF0R_1OuwNlrZI-ynQ,5,18
qgNlUte2tSI7OufuuvR8DA,6,13
RUZvUPOn90ScX60eETwcCw,6,19
I0UXl0AwcpSZCd4_3YCccA,2,13
ypDZCOYcy4hPkLwFtiNp5g,2,12
qNqvJIH4_KENAajUfRZKoA,5,11
7n3_Dg8SCgoPjKYjcp62QQ,4,16
aTUHVjsSH7YLV_wD3i4Lsw,3,12
lEGq4UveDPxikXcpwjtFow,3,19
IK8ID-Dq7LZsPppx4sKLhg,3,7
d-YNxMKL6ZhkiRhfUPxKHg,4,12
QVDzhx0E3d-J7Lh9FuQtTQ,2,11
UACSWwOwCFg58ycvb32-RQ,3,13
U5-VseaV5NWnuh5AW4acJg,4,11
9cmq0_NV08ejfNsSgr2c-Q,0,7
l4ymgiD1WnsSrwxWWk7a3Q,2,10
AYPTLvxlCw2euajnglksTA,2,17
YEOnspVAXguZEJp0iKLq8w,5,21
LDJhwZN14AZOJyHjg2lkRw,5,17
9uMnQTDD0hi_ivp_te6s4A,5,16
pskMAsS5zxuwQUF--tWIUQ,3,10
WTf7fOvesYyhMVGfk3C-pw,0,18
iqVDfE7XknJ6kDIoepT_xQ,6,10
nXKwzVKJCtIGd4HxXgjdnQ,4,20
AE7TfOrefJCI_qTvUoAezA,4,11
8UhKnPs2Jvz7vjzqYCTcWg,5,10
gUt-pPUpOVVhaCFC8-E4yQ,4,17
HcQSVGAcb5c9kgBB49gvZw,5,17
kLAxRU19GwueWSMwXAr0vg,6,10
suivIX2e8mQKGvbMvbcm2Q,1,11
4Pf9DQBcR23A6Lg2pDsrBQ,5,18
zV_LBn9F_3jtx0bFgoGvOA,2,23
UtUXhKh7vOVvWJF48IzJvQ,4,18
xWcTt1L4vQC_QkPfPBVlCw,5,15
saON8-nDZi5W64u1xGtmPA,5,11
DwU7wQtSs3eftKs3Q-EEjw,3,11
APgL23vh7f7H_wAGTl57xQ,4,11
89CVGx4Y6MPVJoi59XgP_A,5,7
9HwUkbKAv7dO3MGlkkJJSg,5,19
LRLN1CIUprYLs6rWUC5bAg,1,17
txCJurIIrE9ZoHu3gZUvnQ,4,18
bZkRR9-BnwE-sb1ql7WPJg,6,10
BZqn7i_Z-MJ1QrxCyjFZSw,3,14
lUsTQ3hOOcSS1mngqeFKAA,6,10
WUZxVr_CaRqEQgzvyeK5tw,5,12
SF43rzRcmrHxaFNN3Pacjg,4,17
GaNphMfP8VeEU00b2Sonng,0,18
cTyBfWfmgL3vgRetyfmtyA,4,23
RiJ8Agrw__NG6flFL7BpbA,2,11
kk85ivM6MQUtH8u642p1Ew,2,16
iuwv-s0X3h-_BCnzsX2hTA,1,18
6apEKjkj5j1W1sS1dSwWyA,5,0
ElqD819zpmOryvsLuzv-Mw,1,12
vuTx_fB-K_b3-WWjXiTdJg,1,10
Um5VnQXli9IwplV2rmgggg,2,18
LR9mX-3mh_PIEeG1A5zqxg,4,18
8SjO3b-87uN2jXVXYNn47g,2,9
m4JI5xpgKjZRicv05YrLrA,5,14
2MM8cFKHp8OaB13fp0ysGw,2,10
BFIrWHn47eRTykYnzJVRIw,2,7
FYCVF_1qYm3x5DYCbmmK1g,6,11
o4DsvwwD2kIbF-EM4r9G8A,5,23
KXfaENdNVS8fZA-UdSomxQ,0,13
FsRAzLD7ipg5iez7kY1b4g,4,11
CTSuvTp8ymqtrM2t0lwAOA,5,13
D1T1jtCfTfXD-cQE3QViow,6,10
cXykQLP4Sr3tNii8k-zckg,5,12
34Ro9GiCAktSZRwUQiNjfw,1,17
PNQ7JyMNfC0jDA0-a4ypnA,5,15
Kh9peg1DisyXa6XvKqGukg,2,8
0rbT0Nf-A56t4DnYIIvy-Q,4,19
yDnRf8m_YI4AXHVGH6-fuQ,5,15
9AbyBqGWHYZC73GlyAuTrQ,4,17
SzUtb20AMaMa5u_AFbzX7w,5,13
e_riFHMoJ1Yguvr0KtOkDQ,5,18
y_GScq9tMmspo0UA4RPjPA,5,18
KoJ4jNSmqYbmKqcoh-2dNA,3,11
gCnyFIE2jYeKCfQx42y4Dg,2,12
OmfLT4ZxFGiNygGmKcgE6g,4,19
kpdzK8ObQtyrpaMvp0Ztig,0,11
7yj_Q15ZB46lbXavBustZQ,0,20
ipfPzCphX5cbfVE4rOUY6Q,5,12
17DI33J8TkcfzyoiIYLQIw,0,18
