city,street,count
Ahwatukee,E Warner Rd,2.0
Anthem,W Anthem Wy,3.0
Apache Junction,W Apache Trl,1.0
Avondale,W. Thomas Rd,7.0
Buckeye,W Main St,2.0
Carefree,N Tom Darlington Dr,3.0
Casa Grande,W Florence Blvd.,1.0
Cave Creek,N Tom Darlington Dr,8.0
Chandler,W.Chandler Blvd.,28.0
Florence,N Pinal Pkwy,1.0
Fort McDowell,N Hiawatha Rd,1.0
Fountain Hills,N Sunridge Dr,2.0
Gila Bend,E Pima St,1.0
Gilbert,W Warner Rd,11.0
Glendale,W. Olive Ave,12.0
Gold Canyon,S Superstition Mountain Dr,1.0
Goodyear,W McDowell Rd,2.0
Guadalupe,S Avenida Del Yaqui,2.0
Laveen,W Baseline Rd,1.0
Litchfield Park,W Indian School Rd,2.0
Maricopa,W Smith Enke Rd,1.0
Mesa,"West Broadway, Suite 25",10.0
Morristown,N Castle Hot Springs Rd,1.0
North Scottsdale,N Pima Rd,2.0
Paradise Valley,N Scottsdale Rd,6.0
Peoria,W. Northern Ave,4.0
Phoenix,West Lewis Ave,69.0
Queen Creek,W Combs Rd,2.0
San Tan Valley,E Hunt Hwy,1.0
Scottsdale,St & Via Linda,106.0
Sun City,N Reems Rd,1.0
Sun Lakes,E Riggs Rd,1.0
Surprise,West Bell Rd,5.0
Tempe,W Washington St,25.0
Tolleson,W Van Buren Street,1.0
Tortilla Flat,N.E. Highway 88,1.0
Waddell,N White Tank Mountain Rd,1.0
Wickenburg,W Wickenburg Way,2.0
