PERSON,TIMES_OF_OCCURANCE
"CLINTON, BILL",3863
"DINKINS, DAVID N",787
"GIULIANI, RUDOLPH W",473
"YELTSIN, BORIS N",354
"BUSH, GEORGE",342
"CUOMO, MARIO M",277
"CLINTON, HILLARY RODHAM",232
"FLORIO, JAMES J",219
"WHITMAN, CHRISTINE TODD",206
"CHRISTOPHER, WARREN M",157
"ARISTIDE, JEAN-BERTRAND",155
"ASPIN, LES",127
"RABIN, YITZHAK",122
"RENO, JANET",122
"GORE, AL",120
"REAGAN, RONALD WILSON",113
"PEROT, ROSS",107
"JORDAN, MICHAEL",106
"KING, RODNEY GLEN",95
"KORESH, DAVID",94
"HOLTZMAN, ELIZABETH",92
"AIDID, MOHAMMED FARAH",88
"SALAMEH, MOHAMMED A",86
"HUSSEIN, SADDAM",83
"DOLE, ROBERT J",75
"BOWE, RIDDICK",75
"HEVESI, ALAN G",70
"KANTOR, MICKEY",70
"ABDEL RAHMAN, OMAR",70
"FERNANDEZ, JOSEPH A",69
"BOUTROS-GHALI, BOUTROS",68
"KELLY, RAYMOND W",68
"GINSBURG, RUTH BADER",66
"ARAFAT, YASIR",66
"VANCE, CYRUS R",64
POPE,63
"STEINBRENNER, GEORGE M 3D",63
"MOYNIHAN, DANIEL PATRICK",60
"MILOSEVIC, SLOBODAN",59
"ABOUHALIMA, MAHMUD",57
"IZETBEGOVIC, ALIJA",57
"ALLEN, WOODY",57
"KARADZIC, RADOVAN",57
"WEICKER, LOWELL P JR",56
"BAIRD, ZOE",56
"MURDOCH, RUPERT",56
"PACKWOOD, ROBERT W",56
"CORTINES, RAMON C",54
"JACKSON, JESSE L",53
"DEMJANJUK, JOHN",52
